Model,RMSE,MSE,R2
ElasticNet,0.8632076533261074,0.7451274527607652,0.12634800346207875
Ridge,0.863209501597,0.7451306436473413,0.1263442621901425
Lasso,0.8632074202162492,0.7451270503163923,0.12634847532273652
